"","Family","RedList","BodySize","HabitatType","HPD","ExtinctRisk","Habitat","log_BodySize","sqrt_BodySize"
"1","CAMBARIDAE","1",42,1,84.66193182,"Least Concern","Streams/River",3.73766961828337,6.48074069840786
"2","PARASTACIDAE","4",65.7,2,40.72222222,"Endangered","Lakes/Wetland",4.18509892549057,8.10555365166378
"3","CAMBARIDAE","2",49.3,1,19.99470899,"Near Threatened","Streams/River",3.89792408104864,7.02139587261678
"4","CAMBARIDAE","2",45.3,1,112.4035928,"Near Threatened","Streams/River",3.81330703248899,6.73052746818554
"5","PARASTACIDAE","4",62.6,1,14.16666667,"Endangered","Streams/River",4.13676527810605,7.91201617794099
"6","CAMBARIDAE","5",19.9,4,94.85042735,"Critical","Caves",2.99071973173045,4.46094160463909
"7","CAMBARIDAE","4",41,4,33.25591716,"Endangered","Caves",3.71357206670431,6.40312423743285
"8","PARASTACIDAE","4",90.6,1,39.15789474,"Endangered","Streams/River",4.50645421304893,9.51840322743263
"9","CAMBARIDAE","4",26,4,121.4909091,"Endangered","Caves",3.25809653802148,5.09901951359278
"10","PARASTACIDAE","1",49.8,1,12.82836879,"Least Concern","Streams/River",3.90801498403061,7.05691150575094
"11","CAMBARIDAE","1",29,2,64.21209243,"Least Concern","Lakes/Wetland",3.36729582998647,5.3851648071345
"12","CAMBARIDAE","1",24.6,1,29.94924406,"Least Concern","Streams/River",3.20274644293832,4.9598387070549
"13","CAMBARIDAE","2",16,2,41.11138311,"Near Threatened","Lakes/Wetland",2.77258872223978,4
"14","CAMBARIDAE","3",24.5,4,23.71764706,"Vulnerable","Caves",3.19867311755068,4.94974746830583
"15","CAMBARIDAE","1",50.7,2,33.10727497,"Least Concern","Lakes/Wetland",3.92592591059714,7.12039324756716
"16","PARASTACIDAE","5",42,1,4.084589615,"Critical","Streams/River",3.73766961828337,6.48074069840786
"17","PARASTACIDAE","4",138.6,1,1.069444444,"Endangered","Streams/River",4.9315920867558,11.7728501222091
"18","CAMBARIDAE","1",60.3,2,15.00828241,"Least Concern","Lakes/Wetland",4.09933210373314,7.76530746332687
"19","CAMBARIDAE","4",33.2,3,124.5298681,"Endangered","Burrows",3.50254987592244,5.76194411635517
"20","PARASTACIDAE","4",45.9,1,1.868131868,"Endangered","Streams/River",3.8264651170665,6.77495387438173
"21","CAMBARIDAE","4",36,1,75.05342832,"Endangered","Streams/River",3.58351893845611,6
"22","CAMBARIDAE","1",26.3,4,21.56232427,"Least Concern","Caves",3.26956893918372,5.12835256198323
"23","PARASTACIDAE","1",64.9,1,30.54787234,"Least Concern","Streams/River",4.17284762371004,8.05605362444913
"24","PARASTACIDAE","5",36.9,1,63.10526316,"Critical","Streams/River",3.60821155104648,6.07453701939498
"25","CAMBARIDAE","1",47.9,1,22.00806985,"Least Concern","Streams/River",3.86911550441687,6.92098258919931
"26","CAMBARIDAE","1",49,1,68.03620763,"Least Concern","Streams/River",3.89182029811063,7
"27","CAMBARIDAE","1",63.3,1,58.57760532,"Least Concern","Streams/River",4.14788532915013,7.95612971236643
"28","PARASTACIDAE","5",58.8,1,2.689119171,"Critical","Streams/River",4.07414185490458,7.66811580507233
"29","CAMBARIDAE","1",31.2,1,19.74795307,"Least Concern","Streams/River",3.44041809481544,5.58569601750758
"30","PARASTACIDAE","5",51,1,0,"Critical","Streams/River",3.93182563272433,7.14142842854285
"31","PARASTACIDAE","1",69.7,1,170.7473684,"Least Concern","Streams/River",4.24420031776648,8.34865258589672
"32","CAMBARIDAE","1",46.4,1,35.36076327,"Least Concern","Streams/River",3.83729945923221,6.81175454637056
"33","PARASTACIDAE","4",27.3,3,0,"Endangered","Burrows",3.30688670219091,5.22494019104525
"34","CAMBARIDAE","3",35,1,82.0893617,"Vulnerable","Streams/River",3.55534806148941,5.91607978309962
"35","CAMBARIDAE","3",31,3,81.93900709,"Vulnerable","Burrows",3.43398720448515,5.56776436283002
"36","CAMBARIDAE","5",26,1,127.3673469,"Critical","Streams/River",3.25809653802148,5.09901951359278
"37","PARASTACIDAE","5",106.2,1,7.931540342,"Critical","Streams/River",4.66532410880784,10.3053384223906
