"","Family","BodySize"
"1","CAMBARIDAE",42
"2","PARASTACIDAE",65.7
"3","CAMBARIDAE",49.3
"4","CAMBARIDAE",45.3
"5","PARASTACIDAE",62.6
"6","CAMBARIDAE",19.9
"7","CAMBARIDAE",41
"8","PARASTACIDAE",90.6
"9","CAMBARIDAE",26
"10","PARASTACIDAE",49.8
"11","CAMBARIDAE",29
"12","CAMBARIDAE",24.6
"13","CAMBARIDAE",16
"14","CAMBARIDAE",24.5
"15","CAMBARIDAE",50.7
"16","PARASTACIDAE",42
"17","PARASTACIDAE",138.6
"18","CAMBARIDAE",60.3
"19","CAMBARIDAE",33.2
"20","PARASTACIDAE",45.9
"21","CAMBARIDAE",36
"22","CAMBARIDAE",26.3
"23","PARASTACIDAE",64.9
"24","PARASTACIDAE",36.9
"25","CAMBARIDAE",47.9
"26","CAMBARIDAE",49
"27","CAMBARIDAE",63.3
"28","PARASTACIDAE",58.8
"29","CAMBARIDAE",31.2
"30","PARASTACIDAE",51
"31","PARASTACIDAE",69.7
"32","CAMBARIDAE",46.4
"33","PARASTACIDAE",27.3
"34","CAMBARIDAE",35
"35","CAMBARIDAE",31
"36","CAMBARIDAE",26
"37","PARASTACIDAE",106.2
"38","CAMBARIDAE",26
"39","CAMBARIDAE",51.2
"40","CAMBARIDAE",50
"41","CAMBARIDAE",48
"42","PARASTACIDAE",36.6
"43","PARASTACIDAE",23.9
"44","PARASTACIDAE",66.7
"45","PARASTACIDAE",60.1
"46","CAMBARIDAE",45
"47","CAMBARIDAE",52.6
"48","CAMBARIDAE",29.6
"49","CAMBARIDAE",19
"50","PARASTACIDAE",20
"51","CAMBARIDAE",NA
"52","PARASTACIDAE",30.6
"53","CAMBARIDAE",26.7
"54","PARASTACIDAE",22.1
"55","CAMBARIDAE",30.2
"56","CAMBARIDAE",49.5
"57","PARASTACIDAE",86.3
"58","PARASTACIDAE",20
"59","PARASTACIDAE",44
"60","CAMBARIDAE",60.1
"61","CAMBARIDAE",43.5
"62","PARASTACIDAE",21.3
"63","CAMBARIDAE",25
"64","PARASTACIDAE",88.4
"65","CAMBARIDAE",40.7
"66","CAMBARIDAE",55
"67","CAMBARIDAE",57
"68","PARASTACIDAE",151.1
"69","PARASTACIDAE",28.7
"70","CAMBARIDAE",35.9
"71","CAMBARIDAE",25.4
"72","CAMBARIDAE",29
"73","CAMBARIDAE",22
"74","CAMBARIDAE",31.9
"75","PARASTACIDAE",27.7
"76","CAMBARIDAE",27
"77","CAMBARIDAE",27.4
"78","PARASTACIDAE",32.5
"79","CAMBARIDAE",35
"80","PARASTACIDAE",35.5
"81","PARASTACIDAE",39.3
"82","CAMBARIDAE",28
"83","PARASTACIDAE",23.3
"84","CAMBARIDAE",35
"85","PARASTACIDAE",145
"86","PARASTACIDAE",30
"87","PARASTACIDAE",36.4
"88","CAMBARIDAE",32.4
"89","CAMBARIDAE",30.5
"90","CAMBARIDAE",35
"92","CAMBARIDAE",40
"93","CAMBARIDAE",17.2
"94","CAMBARIDAE",45.2
"95","CAMBARIDAE",19
"96","CAMBARIDAE",36.8
"97","CAMBARIDAE",41
"98","CAMBARIDAE",25.5
"99","CAMBARIDAE",46.1
"100","PARASTACIDAE",30
"101","PARASTACIDAE",39
"102","PARASTACIDAE",40
"103","CAMBARIDAE",26.2
"104","CAMBARIDAE",15
"105","CAMBARIDAE",39.9
"106","CAMBARIDAE",44.7
"107","CAMBARIDAE",20
"108","CAMBARIDAE",40.6
"109","PARASTACIDAE",38.5
"110","CAMBARIDAE",38.3
"111","CAMBARIDAE",25.5
"112","PARASTACIDAE",32.7
"113","CAMBARIDAE",31.3
"114","CAMBARIDAE",21
"115","PARASTACIDAE",69
"116","CAMBARIDAE",38.1
"117","CAMBARIDAE",28.6
"118","CAMBARIDAE",23.7
"119","CAMBARIDAE",22
"120","PARASTACIDAE",66.7
"121","PARASTACIDAE",40
"122","CAMBARIDAE",15
"123","CAMBARIDAE",64.2
"124","CAMBARIDAE",31.2
"125","PARASTACIDAE",142.4
"126","PARASTACIDAE",58.2
"127","CAMBARIDAE",36
"128","PARASTACIDAE",66
"129","PARASTACIDAE",66.4
"130","CAMBARIDAE",33.3
"131","CAMBARIDAE",32.9
"132","CAMBARIDAE",47.2
"133","CAMBARIDAE",31.3
"134","CAMBARIDAE",22
"135","CAMBARIDAE",25
"136","PARASTACIDAE",20.5
"137","PARASTACIDAE",25.7
"138","CAMBARIDAE",38.4
"139","CAMBARIDAE",34.6
"140","PARASTACIDAE",35.6
"141","PARASTACIDAE",31
"142","CAMBARIDAE",44.7
"144","CAMBARIDAE",40.5
"145","PARASTACIDAE",56.6
"146","PARASTACIDAE",52.9
"147","PARASTACIDAE",65
"148","PARASTACIDAE",27
"149","CAMBARIDAE",40.6
"150","CAMBARIDAE",48
"151","CAMBARIDAE",44
"152","PARASTACIDAE",41.9
"153","PARASTACIDAE",42.9
"154","PARASTACIDAE",36.9
"155","CAMBARIDAE",50.4
"156","CAMBARIDAE",50
"157","PARASTACIDAE",54.7
"158","CAMBARIDAE",27.5
"159","CAMBARIDAE",16
"160","CAMBARIDAE",33.5
"161","CAMBARIDAE",58.9
