"","Habitat","BodySize"
"1","Streams/River",42
"2","Lakes/Wetland",65.7
"3","Streams/River",49.3
"4","Streams/River",45.3
"5","Streams/River",62.6
"6","Caves",19.9
"7","Caves",41
"8","Streams/River",90.6
"9","Caves",26
"10","Streams/River",49.8
"11","Lakes/Wetland",29
"12","Streams/River",24.6
"13","Lakes/Wetland",16
"14","Caves",24.5
"15","Lakes/Wetland",50.7
"16","Streams/River",42
"17","Streams/River",138.6
"18","Lakes/Wetland",60.3
"19","Burrows",33.2
"20","Streams/River",45.9
"21","Streams/River",36
"22","Caves",26.3
"23","Streams/River",64.9
"24","Streams/River",36.9
"25","Streams/River",47.9
"26","Streams/River",49
"27","Streams/River",63.3
"28","Streams/River",58.8
"29","Streams/River",31.2
"30","Streams/River",51
"31","Streams/River",69.7
"32","Streams/River",46.4
"33","Burrows",27.3
"34","Streams/River",35
"35","Burrows",31
"36","Streams/River",26
"37","Streams/River",106.2
"38","Caves",26
"39","Streams/River",51.2
"40","Lakes/Wetland",50
"41","Burrows",48
"42","Streams/River",36.6
"43","Burrows",23.9
"44","Lakes/Wetland",66.7
"45","Lakes/Wetland",60.1
"46","Streams/River",45
"47","Streams/River",52.6
"48","Streams/River",29.6
"49","Lakes/Wetland",19
"50","Burrows",20
"51","Lakes/Wetland",NA
"52","Burrows",30.6
"53","Streams/River",26.7
"54","Burrows",22.1
"55","Streams/River",30.2
"56","Lakes/Wetland",49.5
"57","Streams/River",86.3
"58","Streams/River",20
"59","Lakes/Wetland",44
"60","Burrows",60.1
"61","Streams/River",43.5
"62","Burrows",21.3
"63","Caves",25
"64","Streams/River",88.4
"65","Streams/River",40.7
"66","Lakes/Wetland",55
"67","Lakes/Wetland",57
"68","Streams/River",151.1
"69","Burrows",28.7
"70","Streams/River",35.9
"71","Lakes/Wetland",25.4
"72","Caves",29
"73","Streams/River",22
"74","Streams/River",31.9
"75","Burrows",27.7
"76","Lakes/Wetland",27
"77","Caves",27.4
"78","Burrows",32.5
"79","Streams/River",35
"80","Burrows",35.5
"81","Burrows",39.3
"82","Streams/River",28
"83","Burrows",23.3
"84","Streams/River",35
"85","Streams/River",145
"86","Burrows",30
"87","Streams/River",36.4
"88","Streams/River",32.4
"89","Streams/River",30.5
"90","Streams/River",35
"92","Streams/River",40
"93","Lakes/Wetland",17.2
"94","Lakes/Wetland",45.2
"95","Lakes/Wetland",19
