"","Family","RedList","BodySize","HabitatType","HPD"
"2","PARASTACIDAE",4,65.7,2,40.72222222
"5","PARASTACIDAE",4,62.6,1,14.16666667
"8","PARASTACIDAE",4,90.6,1,39.15789474
"10","PARASTACIDAE",1,49.8,1,12.82836879
"16","PARASTACIDAE",5,42,1,4.084589615
"17","PARASTACIDAE",4,138.6,1,1.069444444
"20","PARASTACIDAE",4,45.9,1,1.868131868
"23","PARASTACIDAE",1,64.9,1,30.54787234
"24","PARASTACIDAE",5,36.9,1,63.10526316
"28","PARASTACIDAE",5,58.8,1,2.689119171
"30","PARASTACIDAE",5,51,1,0
"31","PARASTACIDAE",1,69.7,1,170.7473684
"33","PARASTACIDAE",4,27.3,3,0
"37","PARASTACIDAE",5,106.2,1,7.931540342
"42","PARASTACIDAE",1,36.6,1,100.1989924
"43","PARASTACIDAE",1,23.9,3,0.900172117
"44","PARASTACIDAE",4,66.7,2,40.25454545
"45","PARASTACIDAE",4,60.1,2,41.11320755
"50","PARASTACIDAE",3,20,3,465.4166667
"52","PARASTACIDAE",2,30.6,3,0
"54","PARASTACIDAE",5,22.1,3,17
"57","PARASTACIDAE",3,86.3,1,1.109656301
"58","PARASTACIDAE",2,20,1,2.088888889
"59","PARASTACIDAE",2,44,2,2.351851852
"62","PARASTACIDAE",5,21.3,3,0
"64","PARASTACIDAE",1,88.4,1,6.109473684
"68","PARASTACIDAE",3,151.1,1,4.581743869
"69","PARASTACIDAE",1,28.7,3,4.549382716
"75","PARASTACIDAE",1,27.7,3,1.886227545
"78","PARASTACIDAE",1,32.5,3,0.032020611
"80","PARASTACIDAE",1,35.5,3,5.929133858
"81","PARASTACIDAE",1,39.3,3,20.29544423
"83","PARASTACIDAE",1,23.3,3,1.188811189
"85","PARASTACIDAE",3,145,1,10.46351931
"86","PARASTACIDAE",2,30,3,0
"87","PARASTACIDAE",1,36.4,1,22.34247629
"100","PARASTACIDAE",3,30,3,37.24242424
"101","PARASTACIDAE",2,39,2,153.4771127
"102","PARASTACIDAE",1,40,1,4.112012987
"109","PARASTACIDAE",4,38.5,1,17.72641509
"112","PARASTACIDAE",5,32.7,3,2
"115","PARASTACIDAE",3,69,1,3.324093817
"120","PARASTACIDAE",4,66.7,1,0.985111663
"121","PARASTACIDAE",4,40,1,3.155279503
"125","PARASTACIDAE",1,142.4,1,70.72536387
"126","PARASTACIDAE",1,58.2,1,6.174532502
"128","PARASTACIDAE",4,66,2,39.19298246
"129","PARASTACIDAE",4,66.4,2,40.46296296
"136","PARASTACIDAE",1,20.5,3,5.645340751
"137","PARASTACIDAE",2,25.7,3,2
"140","PARASTACIDAE",1,35.6,3,17.8660346
"141","PARASTACIDAE",1,31,2,0.576923077
"145","PARASTACIDAE",1,56.6,3,7.414110429
"146","PARASTACIDAE",4,52.9,1,2.128571429
"147","PARASTACIDAE",5,65,1,7.931540342
"148","PARASTACIDAE",1,27,3,5.936060809
"152","PARASTACIDAE",2,41.9,3,828.1597633
"153","PARASTACIDAE",5,42.9,1,2.071428571
"154","PARASTACIDAE",3,36.9,1,3.594315245
"157","PARASTACIDAE",4,54.7,1,111.3882353
"162","PARASTACIDAE",5,61.3,1,14.34297521
"172","PARASTACIDAE",1,32.9,3,0
"177","PARASTACIDAE",4,20,3,7.384615385
"178","PARASTACIDAE",1,32.6,3,1.472727273
"179","PARASTACIDAE",1,39.2,1,16.35209003
"187","PARASTACIDAE",5,56.9,1,7.047558656
"198","PARASTACIDAE",2,42.5,2,154.6094421
"203","PARASTACIDAE",1,27,3,2.820224719
"213","PARASTACIDAE",1,80,1,21.51159882
"216","PARASTACIDAE",4,51,1,6.297619048
"225","PARASTACIDAE",4,75.3,2,38.47457627
"229","PARASTACIDAE",5,32.5,3,45.21621622
"230","PARASTACIDAE",1,40.5,3,1.167764298
"233","PARASTACIDAE",1,44.9,3,10.74043062
"235","PARASTACIDAE",2,90,1,295.1397849
"237","PARASTACIDAE",1,24.4,3,0.888198758
"239","PARASTACIDAE",1,40.2,3,6.586503067
"240","PARASTACIDAE",3,17.9,3,0
"243","PARASTACIDAE",1,49,3,47.55134596
"244","PARASTACIDAE",5,39,1,23.47235023
"248","PARASTACIDAE",5,41.9,1,3.266666667
"250","PARASTACIDAE",1,26,3,7.299172502
"255","PARASTACIDAE",5,31.5,3,1
"256","PARASTACIDAE",1,36.7,3,83.46938776
"258","PARASTACIDAE",1,38,1,4.886073907
"259","PARASTACIDAE",4,79.1,1,73.18939394
"261","PARASTACIDAE",4,174.3,1,12.86923077
"263","PARASTACIDAE",4,15,3,3
"264","PARASTACIDAE",1,35.7,3,0.783919598
"265","PARASTACIDAE",5,50.6,1,0.67087392
"268","PARASTACIDAE",1,120,2,2.328091446
"271","PARASTACIDAE",1,49.6,1,5.188123752
"272","PARASTACIDAE",4,66,1,1.516703786
"273","PARASTACIDAE",5,14.8,3,3
"275","PARASTACIDAE",3,28.9,1,344.4268503
"283","PARASTACIDAE",1,33.1,3,8.506811989
"284","PARASTACIDAE",3,28.5,3,120.875
"285","PARASTACIDAE",5,44.6,1,299.25
"290","PARASTACIDAE",4,11.4,3,70.18844492
"294","PARASTACIDAE",3,67.8,2,16
"295","PARASTACIDAE",1,28.9,3,0
"298","PARASTACIDAE",1,22.9,3,0
