tran_number,sp_richness,percent_cover,dist_from_edge_m,dist_from_tree_m,day_of_week,num_flowers,num_dand_flowers,num_leaves_in_rosette,dand_rosette_diam_cm
0,4,95,0.0m,20,Tuesday,140,0,,
0,2,95,3.0m,17,Tuesday,0,0,,
0,3,98,6.0m,15,Tuesday,0,0,,
1,4,90,0.0m,9,Tuesday,0,0,,
1,5,75,3.0m,7,Tuesday,8,7,11,9
1,5,75,3.0m,7,Tuesday,8,7,5,8.8
1,5,75,3.0m,7,Tuesday,8,7,6,9.3
1,5,75,3.0m,7,Tuesday,8,7,15,11.9
1,5,75,3.0m,7,Tuesday,8,7,16,12
1,5,75,3.0m,7,Tuesday,8,7,8,9.2
1,5,75,3.0m,7,Tuesday,8,7,3,6.4
1,6,15,6.0m,4,Tuesday,6,2,9,8
1,6,15,6.0m,4,Tuesday,6,2,24,13.2
2,2,83,0.0m,8,Monday,0,0,,
2,4,73,3.0m,9,Monday,1,0,23,12
2,3,95,6.0m,8,Monday,2,0,,
3,4,65,0.0m,33,Thursday,0,0,,
3,3,97,3.0m,30,Thursday,1,0,,
3,3,95,6.0m,27,Thursday,2,0,,
4,1,98,0.0m,15,Wednesday,0,0,,
4,3,75,3.0m,12,Wednesday,1,1,15,11
4,1,95,6.0m,10,Wednesday,0,0,,
5,5,57,0.0m,14,Tuesday,13,12,32,10
5,5,57,0.0m,14,Tuesday,13,12,25,9
5,5,57,0.0m,14,Tuesday,13,12,18,8
5,5,57,0.0m,14,Tuesday,13,12,14,7
5,5,57,0.0m,14,Tuesday,13,12,13,4
5,5,57,0.0m,14,Tuesday,13,12,24,12
5,5,57,0.0m,14,Tuesday,13,12,15,10
5,4,45,3.0m,11,Tuesday,8,8,7,4
5,4,45,3.0m,11,Tuesday,8,8,7,8
5,4,45,3.0m,11,Tuesday,8,8,8,8
5,4,45,3.0m,11,Tuesday,8,8,7,8
5,4,45,3.0m,11,Tuesday,8,8,12,7
5,4,45,3.0m,11,Tuesday,8,8,5,5
5,4,45,3.0m,11,Tuesday,8,8,3,3
5,4,45,3.0m,11,Tuesday,8,8,14,6
5,4,60,6.0m,8,Tuesday,3,3,11,14
5,4,60,6.0m,8,Tuesday,3,3,8,6
5,4,60,6.0m,8,Tuesday,3,3,15,10
6,4,85,0.0m,6,Tuesday,2,2,6,10
6,4,85,0.0m,6,Tuesday,2,2,12,11
6,4,85,0.0m,6,Tuesday,2,2,11,10
6,4,85,0.0m,6,Tuesday,2,2,10,11
6,4,85,0.0m,6,Tuesday,2,2,15,11
6,5,90,3.0m,2,Tuesday,5,5,15,9
6,5,90,3.0m,2,Tuesday,5,5,8,4
6,5,90,3.0m,2,Tuesday,5,5,10,10
6,5,90,3.0m,2,Tuesday,5,5,9,9
6,5,90,3.0m,2,Tuesday,5,5,6,9
6,5,90,3.0m,2,Tuesday,5,5,7,9
6,5,90,3.0m,2,Tuesday,5,5,3,5
6,5,90,3.0m,2,Tuesday,5,5,5,8
6,5,90,3.0m,2,Tuesday,5,5,5,6
6,5,90,3.0m,2,Tuesday,5,5,8,5
6,5,90,3.0m,2,Tuesday,5,5,5,4
6,5,90,3.0m,2,Tuesday,5,5,9,7
6,1,1,6.0m,1,Tuesday,0,0,,
7,3,60,0.0m,36,Thursday,0,0,,
7,4,90,3.0m,33,Thursday,2,0,,
7,4,70,6.0m,31,Thursday,29,0,,
8,4,42,0.0m,40,Wednesday,52,0,,
8,4,80,3.0m,37,Wednesday,40,0,,
8,6,85,6.0m,35,Wednesday,91,0,,
9,6,65,0.0m,8,Monday,6,6,14,7
9,6,65,0.0m,8,Monday,6,6,6,6
9,6,65,0.0m,8,Monday,6,6,7,8
9,6,65,0.0m,8,Monday,6,6,9,5
9,6,65,0.0m,8,Monday,6,6,10,9
9,6,65,0.0m,8,Monday,6,6,13,7
9,6,65,0.0m,8,Monday,6,6,7,6.5
9,6,65,0.0m,8,Monday,6,6,7,6
9,5,95,3.0m,13,Monday,36,4,4,10
9,5,95,3.0m,13,Monday,36,4,5,8
9,5,95,3.0m,13,Monday,36,4,7,9
9,5,95,3.0m,13,Monday,36,4,7,6.5
9,7,95,6.0m,17,Monday,9,2,6,3.2
9,7,95,6.0m,17,Monday,9,2,7,2.8
9,7,95,6.0m,17,Monday,9,2,7,3.5
9,7,95,6.0m,17,Monday,9,2,7,3
9,7,95,6.0m,17,Monday,9,2,4,6
9,7,95,6.0m,17,Monday,9,2,3,7
10,6,95,0.0m,21,Wednesday,145,0,,
10,5,98,3.0m,18,Wednesday,15,0,,
10,6,80,6.0m,15,Wednesday,6,4,17,1
10,6,80,6.0m,15,Wednesday,6,4,11,1.5
10,6,80,6.0m,15,Wednesday,6,4,17,0.5
10,6,80,6.0m,15,Wednesday,6,4,11,1
11,3,92,0.0m,32,Monday,0,0,8,8
11,6,60,3.0m,25,Monday,5,3,8,9.8
11,6,60,3.0m,25,Monday,5,3,5,7.5
11,6,60,3.0m,25,Monday,5,3,14,8.9
11,6,60,3.0m,25,Monday,5,3,11,13
11,6,96,6.0m,22,Monday,15,15,8,13.5
11,6,96,6.0m,22,Monday,15,15,7,13
11,6,96,6.0m,22,Monday,15,15,10,13.5
12,4,67,0.0m,29,Monday ,1,1,15,12
12,4,80,3.0m,25,Monday ,6,3,23,16
12,5,99,6.0m,21,Monday ,3,0,11,10
13,5,50,0.0m,7,Thursday,36,36,8,8.4
13,5,50,0.0m,7,Thursday,36,36,5,10.5
13,5,50,0.0m,7,Thursday,36,36,8,9.2
13,5,50,0.0m,7,Thursday,36,36,6,7
13,5,50,0.0m,7,Thursday,36,36,19,8.5
13,5,50,0.0m,7,Thursday,36,36,15,12
13,5,50,0.0m,7,Thursday,36,36,8,9
13,5,50,0.0m,7,Thursday,36,36,7,7
13,5,50,0.0m,7,Thursday,36,36,4,6.4
13,5,50,0.0m,7,Thursday,36,36,8,5.7
13,5,50,0.0m,7,Thursday,36,36,27,14.6
13,5,50,0.0m,7,Thursday,36,36,7,14.5
13,5,50,0.0m,7,Thursday,36,36,13,7.4
13,5,50,0.0m,7,Thursday,36,36,18,17
13,5,50,0.0m,7,Thursday,36,36,14,13
13,5,50,0.0m,7,Thursday,36,36,12,9
13,5,50,0.0m,7,Thursday,36,36,8,6
13,5,50,0.0m,7,Thursday,36,36,17,11.5
13,5,50,0.0m,7,Thursday,36,36,10,7
13,5,50,0.0m,7,Thursday,36,36,11,7
13,5,50,0.0m,7,Thursday,36,36,11,8.5
13,7,65,3.0m,3,Thursday,9,9,9,3.2
13,7,65,3.0m,3,Thursday,9,9,11,9.1
13,7,65,3.0m,3,Thursday,9,9,6,6
13,7,65,3.0m,3,Thursday,9,9,9,4.6
13,7,65,3.0m,3,Thursday,9,9,9,10
13,7,65,3.0m,3,Thursday,9,9,12,11
13,7,65,3.0m,3,Thursday,9,9,30,10
13,7,65,3.0m,3,Thursday,9,9,20,18
13,3,75,6.0m,2,Thursday,0,0,,0
14,4,85,0.0m,12,Wednesday,11,0,,
14,4,95,3.0m,9,Wednesday,4,0,,
14,3,80,6.0m,6,Wednesday,1,0,,
15,6,95,0.0m,21,Wednesday,145,0,,
15,5,98,3.0m,18,Wednesday,15,0,,
15,6,80,6.0m,15,Wednesday,6,4,17,1
15,6,80,6.0m,15,Wednesday,6,4,11,1.5
15,6,80,6.0m,15,Wednesday,6,4,17,0.5
15,6,80,6.0m,15,Wednesday,6,4,11,1
16,5,40,0.0m,5,Thursday,2,2,20,11
16,5,40,0.0m,5,Thursday,2,2,28,12
16,5,40,0.0m,5,Thursday,2,2,12,6
16,5,40,0.0m,5,Thursday,2,2,14,8
16,5,40,0.0m,5,Thursday,2,2,13,8
16,5,40,0.0m,5,Thursday,2,2,10,7
16,5,40,0.0m,5,Thursday,2,2,8,9
16,5,40,0.0m,5,Thursday,2,2,6,12
16,5,40,0.0m,5,Thursday,2,2,9,8
16,5,40,0.0m,5,Thursday,2,2,10,5
16,5,75,3.0m,3,Thursday,17,17,6,11
16,5,75,3.0m,3,Thursday,17,17,8,9.5
16,5,75,3.0m,3,Thursday,17,17,4,12.5
16,5,75,3.0m,3,Thursday,17,17,9,11
16,5,75,3.0m,3,Thursday,17,17,5,11.5
16,5,75,3.0m,3,Thursday,17,17,10,11.5
16,5,75,3.0m,3,Thursday,17,17,9,9.5
16,5,75,3.0m,3,Thursday,17,17,9,11
16,5,75,3.0m,3,Thursday,17,17,12,13
16,5,75,3.0m,3,Thursday,17,17,14,12.5
16,5,75,3.0m,3,Thursday,17,17,4,9
16,4,75,6.0m,4,Thursday,0,0,,
17,4,95,0.0m,7,Wednesday,35,,,
17,4,80,3.0m,5,Wednesday,21,,,
17,4,70,6.0m,5.5,Wednesday,24,,,
18,7,87,0.0m,10.5,Tuesday,3,0,,
18,9,70,3.0m,10,Tuesday,3,1,2,12.5
18,10,65,6.0m,10,Tuesday,8,2,9,7
18,10,65,6.0m,10,Tuesday,8,2,14,8
19,5,80,0.0m,14,Monday,19,1,2,6.5
19,5,70,3.0m,10,Monday,2,2,6,11.5
19,5,70,3.0m,10,Monday,2,2,6,11
19,5,70,3.0m,10,Monday,2,2,11,11.3
19,5,70,3.0m,10,Monday,2,2,8,11.5
19,5,70,3.0m,10,Monday,2,2,5,9.5
19,5,70,3.0m,10,Monday,2,2,6,13.5
19,5,70,3.0m,10,Monday,2,2,6,9.3
19,5,70,3.0m,10,Monday,2,2,7,12.2
19,5,70,3.0m,10,Monday,2,2,6,9.5
19,5,70,3.0m,10,Monday,2,2,8,11
19,5,70,3.0m,10,Monday,2,2,7,11.2
19,5,90,6.0m,6.5,Monday,1,1,9,11.5
19,5,90,6.0m,6.5,Monday,1,1,5,9.5
19,5,90,6.0m,6.5,Monday,1,1,7,6
19,5,90,6.0m,6.5,Monday,1,1,6,9.5
19,5,90,6.0m,6.5,Monday,1,1,8,7.5
19,5,90,6.0m,6.5,Monday,1,1,7,13
19,5,90,6.0m,6.5,Monday,1,1,4,10.5
19,5,90,6.0m,6.5,Monday,1,1,6,11
19,5,90,6.0m,6.5,Monday,1,1,6,8
19,5,90,6.0m,6.5,Monday,1,1,10,11.5
19,5,90,6.0m,6.5,Monday,1,1,6,9
19,5,90,6.0m,6.5,Monday,1,1,5,9.6
20,2,95,0.0m,12,Tuesday,0,0,,
20,4,95,3.0m,10,Tuesday,1,1,8,10
20,4,97,6.0m,10,Tuesday ,1,1,9,6
21,7,70,0.0m,29,Monday,9,2,10,10.5
21,7,70,0.0m,29,Monday,9,2,12,7
21,7,70,0.0m,29,Monday,9,2,8,11
21,7,95,3.0m,26,Monday,3,1,4,11
21,9,95,3.0m,26,Monday,3,1,7,6
21,9,85,6.0m,25,Monday,40,3,9,8
21,9,85,6.0m,25,Monday,40,3,17,17
22,4,98,0.0m,10,Wednesday ,7,3,5,8
22,4,98,0.0m,10,Wednesday ,7,3,5,7
22,4,98,0.0m,10,Wednesday ,7,3,5,5
22,5,96,3.0m,6,Wednesday ,3,3,6,6
22,5,96,3.0m,6,Wednesday ,3,3,6,6
22,5,96,3.0m,6,Wednesday ,3,3,7,7
22,4,83,6.0m,3,Wednesday ,0,0,,
23,6,65,0.0m,15,Wednesday,13,0,,
23,4,70,3.0m,16,Wednesday,0,1,14,8.5
23,4,67,6.0m,14,Wednesday,0,0,,
24,6,90,0.0m,4,Monday,0,0,4,7
24,6,90,0.0m,4,Monday,0,0,15,10
24,6,90,0.0m,4,Monday,0,0,8,9
